[0.0, 0.0]
[0.0010983834729134971, 0.099428141435368989]
[0.0023692995731675014, 0.19130180874817196]
[0.0015250270994014948, 0.15476896313924982]
[0.0033003399402506467, 0.077182614485842294]
[0.0021226082287532887, 0.061394310873049425]
[0.00065459802521988103, 0.1660608029760624]
[0.0041838394838810064, 0.07846489075294874]
[0.006848722527574784, 0.061798417682211247]
[0.016421905610546132, 0.092641493786656565]
[0.018945358424879336, 0.022996282131974466]
[0.0065752504659230548, 0.0035155030917459473]
[0.011570356014688185, 0.094298209792693571]
[0.010382050529009756, 0.021084346054013881]
[0.020751498401208393, 0.034226590865395687]
[0.041044229481581027, 0.045784170306725186]
[0.054661352619895479, 0.03345947856172253]
[0.066238617610084732, 0.051196079697049812]
[0.079274839964770485, 0.039576957138015373]
[0.082613772952099943, 0.038719375314354709]
[0.096846964893932352, 0.013176738816254613]
[0.10593287469900134, 0.0034055237190078469]
[0.12405524755101568, 0.015591379318177667]
[0.13987915311096494, 0.010877945838982384]
[0.15247690691332064, 0.044887659640461763]
[0.17280724119085386, 0.27582750823823954]
[0.18803152548425262, 0.27259385189461754]
[0.20518042139496925, 0.36132727469318165]
[0.225377535063397, 0.22385438063532562]
[0.24947546959937222, 0.4862086510176904]
[0.26625820123782129, 0.37700829918141027]
[0.26976944095913713, 0.61909846938785318]
[0.28250745988304499, 0.37429107747157381]
[0.29947248855634861, 0.50674453947878284]
[0.31543701608423208, 0.26153451226738822]
[0.33172019328377489, 0.059529069295718884]
[0.35234923493439607, 0.39437985615039894]
[0.36584299650425162, 0.35958417439291068]
[0.37814149597125318, 0.17762195019182381]
[0.40212883317500342, 0.71711514482044891]
[0.42460916281476174, 0.50040225370768954]
[0.45623140944340851, 0.73348177795367242]
[0.4790174027708034, 0.5281729472895651]
[0.49975326082634147, 0.62849125535495864]
[0.51587598197129014, 0.40500598849686265]
[0.53190385488890968, 0.62401767877466385]
[0.53246198142439616, 0.42228893346453122]
[0.5493467650198911, 0.80772623303295898]
[0.56285263724325496, 0.62939337370619231]
[0.58914598153319886, 0.9355314686534868]
[0.61771739273885784, 0.6433032494559453]
[0.64091551257897061, 0.77213795341326397]
[0.65603510418168642, 0.41492157157239484]
[0.67767607949864095, 0.10012984646222178]
[0.68743608532299616, 0.33881281598765733]
[0.69857786822562185, 0.17159454872510604]
[0.72732690215740747, 0.43273031425315622]
[0.73700574572329725, 0.21306146914344914]
[0.74970154456025906, 0.16066028788608988]
[0.73932613442323403, 0.069316286048906939]
